Task,Answer,a,b,c,d,comment,topic,level,tags,deck
Choose the sentence with the right word order,3,Tom a lot of people invited.,A lot of people Tom invited.,Tom invited a lot of people.,Tom invited of people a lot.,"We usually use a certain word order: Subject - Predicate - Object. In this sentence 'Tom' is a subject, 'invited' is a predicate and 'a lot of people' is an object.",word order,1, 1 ,1200 Grammer Tests
Have you got _ pen?,2,—,a,an,the,We use the article 'a' with singular countable nouns when we talk about them in general.,articles,1, 2 ,1200 Grammer Tests
Tom _______ (to read) a newspaper now.,2,reads,is reading,read,has read,The adverb 'now' means that the action is taking place at the moment of speaking.  In this case we should use the Present Continuous Tense: am/is/are + Verb-ing.,present tenses,1, 3 ,1200 Grammer Tests
The Romans _______ (to come) to Britain in 54 BC.,1,came,were coming,comed,had come,If an action happened at a definite time in the past we use the Past Simple Tense. If there is a regular verb in a sentence we add '-ed'. Irregular verbs should be memorized. Here: COME-CAME-COME,past tenses,1, 4 ,1200 Grammer Tests
Bill __________ (to visit) his parents tomorrow. He has got an appointment with them.,1,is visiting,will have visited,will visit,visits,"We use ‘I am doing’ (present continuous) when we say what we have arranged to do. While ‘I am going to do something’ means ‘I've decided to do it, but perhaps not arranged to do it.",future tenses,1, 5 ,1200 Grammer Tests
"Tom, look! The mail ______________ (to deliver).",1,is delivered,delivers,delivered,is delivering,Sometimes we don't know who carries out the action and also it can be obvious or unimportant to us. In this case we use the Passive Voice.,passive voice,1, 6 ,1200 Grammer Tests
"My brother is only 6, but he _____________ already play the piano.",4,has to,must,may,can,The modal verb 'can' is used when we speak about someone's ability to do something.,modal verbs,1, 7 ,1200 Grammer Tests
At first you have to _______________ (to complete a form) the application form.,2,try on,fill in,come on,take off,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to fill in' means 'to complete a form by providing needed information'.",phrasal verbs,1, 8 ,1200 Grammer Tests
Choose two forms of the verb 'to be' according to the order: Past Simple - Past Participle,1,was/were - been,was - was,been - been,been - was,TO BE - WAS/WERE - BEEN,irragular verbs,1, 9 ,1200 Grammer Tests
Your brother is so rude. I don't like ____ .,1,him,he,his,himself,If a pronoun is an object we use its object form: He - Him,pronouns,1, 10 ,1200 Grammer Tests
You should be very careful. Snowboarding is a __________ hobby.,1,dangerous,boring,awful,scary,"The adjective 'dangerous' is a characteristic of something risky, of something that can cause injury.",adjective,1, 11 ,1200 Grammer Tests
The train was moving ________ .,3,slow,slowful,slowly,slowy,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 12 ,1200 Grammer Tests
