Id,Chapter,Title,Picture,Audio,tags,deck
ueg_ca_01_000,Chapter 1 – Overview of Verb Tenses,UUEGi 1-0 Overview,"<img src=""ueg_ca_01_000.png"" />",[sound:ueg_ca_01_000.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 1  –  Overview of Verb Tenses
ueg_ca_01_001,Chapter 1 – Overview of Verb Tenses,UUEGi 1-1 The simple tenses,"<img src=""ueg_ca_01_001.png"" />",[sound:ueg_ca_01_001.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 1  –  Overview of Verb Tenses
ueg_ca_01_002,Chapter 1 – Overview of Verb Tenses,UUEGi 1-2 The progressive tenses,"<img src=""ueg_ca_01_002.png"" />",[sound:ueg_ca_01_002.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 1  –  Overview of Verb Tenses
ueg_ca_01_003,Chapter 1 – Overview of Verb Tenses,UUEGi 1-3 The perfect tenses,"<img src=""ueg_ca_01_003.png"" />",[sound:ueg_ca_01_003.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 1  –  Overview of Verb Tenses
ueg_ca_01_004,Chapter 1 – Overview of Verb Tenses,UUEGi 1-4 The perfect progressive tenses,"<img src=""ueg_ca_01_004.png"" />",[sound:ueg_ca_01_004.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 1  –  Overview of Verb Tenses
ueg_ca_01_005,Chapter 1 – Overview of Verb Tenses,UUEGi 1-5 Summary chart of verb tenses,"<img src=""ueg_ca_01_005.png"" />",[sound:ueg_ca_01_005.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 1  –  Overview of Verb Tenses
ueg_ca_01_006,Chapter 1 – Overview of Verb Tenses,UUEGi 1-6 Spelling of -ing and -ed forms,"<img src=""ueg_ca_01_006.png"" />",[sound:ueg_ca_01_006.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 1  –  Overview of Verb Tenses
ueg_ca_02_000,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-0 Overview,"<img src=""ueg_ca_02_000.png"" />",[sound:ueg_ca_02_000.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_001,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-1 Simple present,"<img src=""ueg_ca_02_001.png"" />",[sound:ueg_ca_02_001.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_002,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-2 Present progressive,"<img src=""ueg_ca_02_002.png"" />",[sound:ueg_ca_02_002.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_003,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-3 Stative verbs,"<img src=""ueg_ca_02_003.png"" />",[sound:ueg_ca_02_003.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_004,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-4 Am/is/are being + adjective,"<img src=""ueg_ca_02_004.png"" />",[sound:ueg_ca_02_004.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_005,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-5 Regular and irregular verbs,"<img src=""ueg_ca_02_005.png"" />",[sound:ueg_ca_02_005.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_006,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-6 Regular verbs: pronunciation of -ed endings,"<img src=""ueg_ca_02_006.png"" />",[sound:ueg_ca_02_006.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_007,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-7 Irregular verbs: an alphabetical list,"<img src=""ueg_ca_02_007.png"" />",[sound:ueg_ca_02_007.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_008,"Chapter 2 – Present and Past, Simple and Progressive","UUEGi 2-8 Troublesome verbs: raise/rise, set/sit, lay/lie","<img src=""ueg_ca_02_008.png"" />",[sound:ueg_ca_02_008.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_009,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-9 Simple past,"<img src=""ueg_ca_02_009.png"" />",[sound:ueg_ca_02_009.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_010,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-10 Past progressive,"<img src=""ueg_ca_02_010.png"" />",[sound:ueg_ca_02_010.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_011,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-11 Using progressive verbs with always to complain,"<img src=""ueg_ca_02_011.png"" />",[sound:ueg_ca_02_011.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_02_012,"Chapter 2 – Present and Past, Simple and Progressive",UUEGi 2-12 Using expressions of place with progressive verbs,"<img src=""ueg_ca_02_012.png"" />",[sound:ueg_ca_02_012.mp3],,"Grammar Speaks::02. UUEGi Talking Heads::Chapter 2  –  Present and Past, Simple and Progressive"
ueg_ca_03_000,Chapter 3 – Perfect and Perfect Progressive Tenses,UUEGi 3-0 Overview,"<img src=""ueg_ca_03_000.png"" />",[sound:ueg_ca_03_000.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 3  –  Perfect and Perfect Progressive Tenses
ueg_ca_03_001,Chapter 3 – Perfect and Perfect Progressive Tenses,UUEGi 3-1 Present perfect,"<img src=""ueg_ca_03_001.png"" />",[sound:ueg_ca_03_001.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 3  –  Perfect and Perfect Progressive Tenses
ueg_ca_03_002,Chapter 3 – Perfect and Perfect Progressive Tenses,UUEGi 3-2 Present perfect progressive,"<img src=""ueg_ca_03_002.png"" />",[sound:ueg_ca_03_002.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 3  –  Perfect and Perfect Progressive Tenses
ueg_ca_03_003,Chapter 3 – Perfect and Perfect Progressive Tenses,UUEGi 3-3 Past perfect,"<img src=""ueg_ca_03_003.png"" />",[sound:ueg_ca_03_003.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 3  –  Perfect and Perfect Progressive Tenses
ueg_ca_03_004,Chapter 3 – Perfect and Perfect Progressive Tenses,UUEGi 3-4 Past perfect progressive,"<img src=""ueg_ca_03_004.png"" />",[sound:ueg_ca_03_004.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 3  –  Perfect and Perfect Progressive Tenses
ueg_ca_04_000,Chapter 4 – Future Time,UUEGi 4-0 Overview,"<img src=""ueg_ca_04_000.png"" />",[sound:ueg_ca_04_000.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 4  –  Future Time
ueg_ca_04_001,Chapter 4 – Future Time,UUEGi 4-1 Simple future: will and be going to,"<img src=""ueg_ca_04_001.png"" />",[sound:ueg_ca_04_001.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 4  –  Future Time
ueg_ca_04_002,Chapter 4 – Future Time,UUEGi 4-2 Will vs. be going to,"<img src=""ueg_ca_04_002.png"" />",[sound:ueg_ca_04_002.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 4  –  Future Time
ueg_ca_04_003,Chapter 4 – Future Time,UUEGi 4-3 Expressing the future in time clauses,"<img src=""ueg_ca_04_003.png"" />",[sound:ueg_ca_04_003.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 4  –  Future Time
ueg_ca_04_004,Chapter 4 – Future Time,UUEGi 4-4 Using the present progressive and the simple present to express future time,"<img src=""ueg_ca_04_004.png"" />",[sound:ueg_ca_04_004.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 4  –  Future Time
ueg_ca_04_005,Chapter 4 – Future Time,UUEGi 4-5 Future progressive,"<img src=""ueg_ca_04_005.png"" />",[sound:ueg_ca_04_005.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 4  –  Future Time
ueg_ca_04_006,Chapter 4 – Future Time,UUEGi 4-6 Future perfect<br/>UUEGi 4-7 Future perfect progressive,"<img src=""ueg_ca_04_006.png"" />",[sound:ueg_ca_04_006.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 4  –  Future Time
ueg_ca_05_000,Chapter 5 – Adverb Clauses of Time and Review of Verb Tenses,UUEGi 5-0 Overview,"<img src=""ueg_ca_05_000.png"" />",[sound:ueg_ca_05_000.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 5  –  Adverb Clauses of Time and Review of Verb Tenses
ueg_ca_05_001,Chapter 5 – Adverb Clauses of Time and Review of Verb Tenses,UUEGi 5-1 Adverb clauses of time: form,"<img src=""ueg_ca_05_001.png"" />",[sound:ueg_ca_05_001.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 5  –  Adverb Clauses of Time and Review of Verb Tenses
ueg_ca_05_002,Chapter 5 – Adverb Clauses of Time and Review of Verb Tenses,UUEGi 5-2 Using adverb clauses to show time relationships,"<img src=""ueg_ca_05_002.png"" />",[sound:ueg_ca_05_002.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 5  –  Adverb Clauses of Time and Review of Verb Tenses
ueg_ca_06_000,Chapter 6 – Subject-Verb Agreement,UUEGi 6-0 Overview,"<img src=""ueg_ca_06_000.png"" />",[sound:ueg_ca_06_000.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 6  –  Subject-Verb Agreement
ueg_ca_06_001,Chapter 6 – Subject-Verb Agreement,"UUEGi 6-1 Final –s/-es: use, pronunciation, and spelling","<img src=""ueg_ca_06_001.png"" />",[sound:ueg_ca_06_001.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 6  –  Subject-Verb Agreement
ueg_ca_06_002,Chapter 6 – Subject-Verb Agreement,UUEGi 6-2 Basic subject-verb agreement,"<img src=""ueg_ca_06_002.png"" />",[sound:ueg_ca_06_002.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 6  –  Subject-Verb Agreement
ueg_ca_06_003,Chapter 6 – Subject-Verb Agreement,UUEGi 6-3 Subject-verb agreement: using expressions of quantity,"<img src=""ueg_ca_06_003.png"" />",[sound:ueg_ca_06_003.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 6  –  Subject-Verb Agreement
ueg_ca_06_004,Chapter 6 – Subject-Verb Agreement,UUEGi 6-4 Subject-verb agreement: using there + be,"<img src=""ueg_ca_06_004.png"" />",[sound:ueg_ca_06_004.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 6  –  Subject-Verb Agreement
ueg_ca_06_005,Chapter 6 – Subject-Verb Agreement,UUEGi 6-5 Subject-verb agreement: some irregularities,"<img src=""ueg_ca_06_005.png"" />",[sound:ueg_ca_06_005.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 6  –  Subject-Verb Agreement
ueg_ca_07_000,Chapter 7 – Nouns,UUEGi 7-0 Overview,"<img src=""ueg_ca_07_000.png"" />",[sound:ueg_ca_07_000.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_001,Chapter 7 – Nouns,UUEGi 7-1 Regular and irregular plural nouns,"<img src=""ueg_ca_07_001.png"" />",[sound:ueg_ca_07_001.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_002,Chapter 7 – Nouns,UUEGi 7-2 Possessive nouns,"<img src=""ueg_ca_07_002.png"" />",[sound:ueg_ca_07_002.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_003,Chapter 7 – Nouns,UUEGi 7-3 Using nouns as modifiers,"<img src=""ueg_ca_07_003.png"" />",[sound:ueg_ca_07_003.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_004,Chapter 7 – Nouns,UUEGi 7-4 Count and nouncount nouns,"<img src=""ueg_ca_07_004.png"" />",[sound:ueg_ca_07_004.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_005,Chapter 7 – Nouns,UUEGi 7-5 Noncount nouns,"<img src=""ueg_ca_07_005.png"" />",[sound:ueg_ca_07_005.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_006,Chapter 7 – Nouns,UUEGi 7-6 Some common nouncount nouns,"<img src=""ueg_ca_07_006.png"" />",[sound:ueg_ca_07_006.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_007,Chapter 7 – Nouns,UUEGi 7-7 Basic article usage,"<img src=""ueg_ca_07_007.png"" />",[sound:ueg_ca_07_007.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_008,Chapter 7 – Nouns,UUEGi 7-8 General guidelines for article usage,"<img src=""ueg_ca_07_008.png"" />",[sound:ueg_ca_07_008.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_009,Chapter 7 – Nouns,UUEGi 7-9 Expressions of quantity,"<img src=""ueg_ca_07_009.png"" />",[sound:ueg_ca_07_009.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_010,Chapter 7 – Nouns,UUEGi 7-10 Using a few and few; a little and little,"<img src=""ueg_ca_07_010.png"" />",[sound:ueg_ca_07_010.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_011,Chapter 7 – Nouns,UUEGi 7-11 Using of in expressions of quantity,"<img src=""ueg_ca_07_011.png"" />",[sound:ueg_ca_07_011.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_012,Chapter 7 – Nouns,UUEGi 7-12 All (of) and both (of),"<img src=""ueg_ca_07_012.png"" />",[sound:ueg_ca_07_012.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_07_013,Chapter 7 – Nouns,"UUEGi 7-13 Singular expressions of quantity: one, each, every","<img src=""ueg_ca_07_013.png"" />",[sound:ueg_ca_07_013.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 7  –  Nouns
ueg_ca_08_000,Chapter 8 – Pronouns,UUEGi 8-0 Overview,"<img src=""ueg_ca_08_000.png"" />",[sound:ueg_ca_08_000.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 8  –  Pronouns
ueg_ca_08_001,Chapter 8 – Pronouns,UUEGi 8-1 Personal pronouns,"<img src=""ueg_ca_08_001.png"" />",[sound:ueg_ca_08_001.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 8  –  Pronouns
ueg_ca_08_002,Chapter 8 – Pronouns,UUEGi 8-2 Personal pronouns: agreement with generic nouns and indefinite pronouns,"<img src=""ueg_ca_08_002.png"" />",[sound:ueg_ca_08_002.mp3],,Grammar Speaks::02. UUEGi Talking Heads::Chapter 8  –  Pronouns
