№,Keyword,Suggestion,Short Vietnamese,Keyword_Sound,Image,Transcription,Explanation,Meaning_Sound,Example_Sound,Full Vietnamese,tags,deck
1,afraid,<div>a__ __ __ __d</div>,Sợ hãi,[sound:4000B1_afraid.mp3],<img src='4000B1_001.jpg'>,[ə'freɪd],"<div>When someone is {{c1::afraid}}, they feel fear.</div>→ &nbsp;The woman was {{c1::afraid}} of what she saw.",[sound:4000B1_afraid_meaning.mp3],[sound:4000B1_afraid_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>afraid /ə'freid/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>sợ, hãi, hoảng, hoảng sợ</b></font> <ul> <li><b>we are not afraid of dificulties</b>: chúng ta không sợ khó khăn</li> <li><b>to be afraid of someone</b>: sợ ai; ngại lấy làm tiếc</li> <li><b>I am afraid I can not lend you the book</b>: tôi lấy làm tiếc không cho anh mượn quyển sách đó được</li> <li><b>I'm afraid [that] it will happen</b>: tôi e rằng việc đó sẽ xảy ra</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
2,agree,<div>a__ __ __ __</div>,Đồng ý,[sound:4000B1_agree.mp3],<img src='4000B1_002.jpg'>,[ə'griː],<div>To {{c1::agree}} is to say “yes” or to think the same way.</div>→ &nbsp;A: The food is very good in that restaurant.&nbsp;<div>&nbsp; &nbsp; &nbsp;B: I {{c1::agree}} with you.</div>,[sound:4000B1_agree_meaning.mp3],[sound:4000B1_agree_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>agree /ə'gri:/</i><br /> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>đồng ý, tán thành, bằng lòng, thoả thuận</b></font> <ul> <li><b>to agree go proposal</b>: tán thành một lời đề nghị</li> <li><b>to agree with someone</b>: đồng ý với ai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>hoà thuận</b></font> <ul> <li><b>they can't agree</b>: họ không thể sống hoà thuận với nhau được</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>hợp với, phù hợp với, thích hợp với</b></font> <ul> <li><b>this food does not agree with me</b>: thức ăn này không thích hợp với tôi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(ngôn ngữ học) hợp (về cách, giống, số...)</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>cân bằng (các khoản chi thu...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>agreed!</i></b></font> <ul> <li><b>đồng ý!, tán thành!</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to agree like cats and dogs</i></b></font> <ul> <li><b>sống với nhau như chó với mèo</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to agree to differ</i></b></font> <ul> <li><b>(xem) differ</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
3,angry,<div>a__ __ __y</div>,Tức giận,[sound:4000B1_angry.mp3],<img src='4000B1_003.jpg'>,['æŋgrɪ],"<div>When someone is {{c1::angry}}, they may want to speak loudly or fight.</div>→ &nbsp;She didn’t do her homework, so her father is {{c1::angry}}.",[sound:4000B1_angry_meaning.mp3],[sound:4000B1_angry_example.mp3],"<li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>giận, tức giận, cáu</b></font> <ul> <li><b>to be (get) angry with (at) someone</b>: tức giận ai</li> <li><b>to be (get) angry at (about) something</b>: tức giận về cái gì</li> <li><b>to make someone angry</b>: làm cho ai tức giận, chọc tức ai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>nhức nhối, viêm tấy (vết thương)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>hung dữ, dữ</b></font> <ul> <li><b>angry winds</b>: gió dữ</li> <li><b>angry waves</b>: sóng dữ</li></ul></li></ul></li>",,4000 Essential English Words - Book 1::Unit 01
4,arrive,<div>a__ __ __ __e</div>,"Đến, tới nơi",[sound:4000B1_arrive.mp3],<img src='4000B1_004.jpg'>,[ə'raɪv],<div>To {{c1::arrive}} is to get to or reach some place.</div>→ &nbsp;The bus always {{c1::arrive}}s at the corner of my street at 4:00.,[sound:4000B1_arrive_meaning.mp3],[sound:4000B1_arrive_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>arrive /ə'raiv/</i><br /> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>(+ at, in) đến, tới nơi; xảy đến</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>đi đến, đạt tới</b></font> <ul> <li><b>to arrive at a conclusion</b>: đi tới một kết luận</li> <li><b>to arrive at perfection</b>: đạt tới chỗ toàn thiện</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thành đạt</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
5,attack,<div>a__ __ __ __k</div>,Tấn công,[sound:4000B1_attack.mp3],<img src='4000B1_005.jpg'>,[ə'tæk],<div>To {{c1::attack}} is to try to fight or to hurt.</div>→ &nbsp;The man with the sword {{c1::attack}}ed the other man first.,[sound:4000B1_attack_meaning.mp3],[sound:4000B1_attack_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>attack /ə'tæk/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự tấn công, sự công kích</b></font> <ul> <li><b>to make an attack on enemy positions</b>: tấn công các vị trí địch</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cơn (bệnh)</b></font> <ul> <li><b>an attack of fever</b>: cơn sốt</li> <li><b>a heart attack</b>: cơn đau tim</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>tấn công, công kích</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>bắt đầu, bắt tay vào, lao vào (công việc)</b></font> <ul> <li><b>to attack a task</b>: bắt tay vào việc, lao vào việc</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>ăn mòn (axit)</b></font> <ul> <li><b>strong acids attack metals</b>: axit mạnh ăn mòn kim loại</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>nhiễm vào (bệnh tật)</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>tấn công, bắt đầu chiến sự</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
6,bottom,<div>b__ __ __ __m</div>,phần dưới cùng; đáy,[sound:4000B1_bottom.mp3],<img src='4000B1_006.jpg'>,['bɔtəm],<div>The {{c1::bottom}} is the lowest part.</div>→ &nbsp;The {{c1::bottom}} of my shoe has a hole in it.,[sound:4000B1_bottom_meaning.mp3],[sound:4000B1_bottom_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>phần dưới cùng; đáy</b></font> <ul> <li><b>at the bottom of the street</b>: ở cuối phố</li> <li><b>the bottom of a page</b>: cuối trang</li> <li><b>the bottom of a glass</b>: đáy cốc</li> <li><b>to sink to the bottom</b>: chìm xuống đáy (biển)</li> <li><b>from the bottom of one's heart</b>: tự đáy lòng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(hàng hải) bụng tàu; tàu</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>mặt (ghế)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>đít</b></font> <ul> <li><b>to kick someone's bottom</b>: đá đít người nào</li> <li><b>to fall on one's bottom</b>: ngã phệt đít xuống</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cơ sở; ngọn nguồn</b></font> <ul> <li><b>to get to the bottom of a mystery</b>: tìm hiểu ngọn nguồn của một điều bí ẩn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>bản chất</b></font> <ul> <li><b>to be a good man at bottom</b>: bản chất là người tốt</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sức chịu đựng, sức dai</b></font> <ul> <li><b>a horse of good bottom</b>: con ngựa dai sức</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to knock the bottom out of an argument</i></b></font> <ul> <li><b>bẻ gãy một lý lẽ</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to stand on one's own bottom</i></b></font> <ul> <li><b>tự lập không nhờ vả ai</b></li></ul></li></ul></li></ul> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>cuối, cuối cùng, thấp nhất</b></font> <ul> <li><b>bottom price</b>: giá thấp nhất</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>căn bản</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to bet one's bottom dollar</i></b></font> <ul> <li><b>dốc túi đánh cược</b></li></ul></li></ul></li></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>làm đáy (thùng, xoong...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>đóng mặt (ghế)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>mò xuống tận đáy; ((nghĩa bóng)) xem xét kỹ lưỡng (một vấn đề)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(bottom upon) căn cứ vào, dựa trên</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>chạm đáy</b></font></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 01
7,clever,<div>c__ __ __ __r</div>,Thông minh,[sound:4000B1_clever.mp3],<img src='4000B1_007.jpg'>,['klevə],"<div>When someone is {{c1::clever}}, they can solve a hard puzzle or problem.</div>→ &nbsp;The {{c1::clever}} boy thought of a good idea.",[sound:4000B1_clever_meaning.mp3],[sound:4000B1_clever_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>clever</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>clever /'klevə/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>lanh lợi, thông minh</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>giỏi, tài giỏi, khéo léo, lành nghề</b></font> <ul> <li><b>a clever workman</b>: thợ giỏi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thần tình, tài tình, hay; khôn ngoan, lâu</b></font> <ul> <li><b>a clever parody</b>: một bài thơ nhại tài tình</li> <li><b>a clever speech</b>: một bài nói hay</li> <li><b>a clever scheme</b>: mưu đồ thần tình</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ), (thông tục) tốt bụng, tử tế</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
8,cruel,<div>c__ __ __l</div>,Độc ác,[sound:4000B1_cruel.mp3],<img src='4000B1_008.jpg'>,"['kruːəl], [kruəl]","<div>When someone is {{c1::cruel}}, they do bad things to hurt others.</div>→ &nbsp;The {{c1::cruel}} man yelled at his sister.",[sound:4000B1_cruel_meaning.mp3],[sound:4000B1_cruel_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>cruel</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>cruel /'kruili/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>độc ác, dữ tợn, hung ác, ác nghiệt, tàn ác, tàn bạo, tàn nhẫn</b></font> <ul> <li><b>cruel fate</b>: số phận phũ phàng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>hiểm nghèo, tàn khốc, thảm khốc</b></font> <ul> <li><b>a cruel disease</b>: cơn bệnh hiểm nghèo</li> <li><b>a cruel war</b>: cuộc chiến tranh tàn khốc</li> <li><b>a cruel death</b>: cái chết thảm khốc</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
9,finally,<div>f__ __ __ __ __y</div>,Sau cùng,[sound:4000B1_finally.mp3],<img src='4000B1_009.jpg'>,['faɪn(ə)lɪ],"<div>If something happens {{c1::finally}}, it happens after a longtime or at the end.</div>→ &nbsp;He {{c1::finally}} crossed the finish line after five hours of running.",[sound:4000B1_finally_meaning.mp3],[sound:4000B1_finally_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>finally</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>finally /'fainəli/</i><br /> <ul> <li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>cuối cùng, sau cùng</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>dứt khoát</b></font></li><li></li><li><sub>to settle a matter finally: giải quyết dứt khoát một vấn đề</sub></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
10,hide,<div>h__ __ __</div>,"Trốn, ẩn nấp",[sound:4000B1_hide.mp3],<img src='4000B1_010.jpg'>,[haɪd],<div>To {{c1::hide}} is to try not to let others see you.</div>→ &nbsp;The other children will {{c1::hide}} while you count to 100.,[sound:4000B1_hide_meaning.mp3],[sound:4000B1_hide_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>hide</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>hide /haid/</i> <ul></ul> <ul> <li><b><i>nội động từ hidden, hid</i></b> <ul> <li><font color=""#cc0000""><b>trốn, ẩn nấp, náu</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>che giấu, che đậy, giấu giếm; giữ kín (một điều gì)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>che khuất</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to hide one's head</i></b></font> <ul> <li><b>giấu mặt đi vì xấu hổ, xấu hổ vì không dám ló mặt ra</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>not to hide one's light (candle) under a bushel</i></b></font> <ul> <li><b>(xem) bushel</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
